id,type,data
127,1,"[[1417,0,0],[1418,0,0],[1419,0,-2],[1420,0,0],[1421,0,0],[1422,0,0],[1423,0,0],[1424,0,0],[1425,0,0],[1426,0,0],[1427,0,-1],[1428,0,0],[1429,0,0],[1430,0,0],[1431,0,0],[1432,0,0],[1433,0,0],[1434,0,0],[1435,0,0],[1436,0,0]]"
128,4,"[[1457,5,-1],[1460,5,0]]"
129,0,"[[1496,0,-4],[1497,0,-3],[1498,0,-4],[1499,0,-3],[1500,0,-3]]"
130,2,"[[1481,1,0],[1482,-1,0],[1483,-1,0],[1484,0,0],[1485,0,0],[1486,-1,0],[1487,1,0],[1488,2,0],[1489,0,0],[1490,0,0],[1491,0,0],[1492,1,0],[1493,0,0],[1494,0,0],[1495,-1,0]]"
131,1,"[[1461,0,-1],[1462,0,0],[1463,0,-2],[1464,0,0],[1465,0,0],[1466,0,0],[1467,0,0],[1468,0,0],[1469,0,0],[1470,0,0],[1471,0,0],[1472,0,0],[1473,0,0],[1474,0,0],[1475,0,0],[1476,0,0],[1477,0,0],[1478,0,0],[1479,0,0],[1480,0,0]]"
132,0,"[[1521,1,0],[1522,1,0],[1523,1,0],[1524,1,0],[1525,1,0]]"
133,2,"[[1590,0,0],[1591,0,0],[1592,0,0],[1593,0,0],[1594,0,0],[1595,0,0],[1596,0,0],[1597,0,0],[1598,0,0],[1599,0,0],[1600,0,0],[1601,0,0],[1602,2,0],[1603,0,0],[1604,0,0]]"
134,1,"[[1501,0,0],[1502,0,0],[1503,0,-2],[1504,0,0],[1505,0,0],[1506,0,0],[1507,0,0],[1508,0,0],[1509,0,0],[1510,0,0],[1511,0,0],[1512,0,0],[1513,0,0],[1514,0,0],[1515,0,0],[1516,0,0],[1517,0,0],[1518,0,0],[1519,0,0],[1520,0,0]]"
135,4,"[[1526,5,-1],[1528,5,1]]"
136,0,"[[1565,1,-4],[1566,0,-4],[1567,-2,-5],[1568,-1,-6],[1569,-1,-4]]"
137,2,"[[1550,4,0],[1551,0,0],[1552,1,0],[1553,1,0],[1554,2,0],[1555,1,1],[1556,0,0],[1557,0,0],[1558,0,0],[1559,0,0],[1560,5,-2],[1561,0,0],[1562,0,-2],[1563,0,0],[1564,-1,0]]"
138,1,"[[1530,0,-4],[1531,0,-3],[1532,0,-4],[1533,-2,-1],[1534,-1,-1],[1535,0,-3],[1536,-2,-3],[1537,0,-3],[1538,-4,-4],[1539,-4,-4],[1540,-5,-2],[1541,-9,-2],[1542,1,-5],[1543,-3,-3],[1544,3,-4],[1545,1,-3],[1546,-1,-3],[1547,-1,-3],[1548,3,-6],[1549,-1,-5]]"
139,0,"[[1605,0,-5],[1606,0,-4],[1607,0,-5],[1608,0,-5],[1609,0,-4]]"
140,2,"[[1590,0,0],[1591,0,0],[1592,0,0],[1593,0,0],[1594,0,0],[1595,0,0],[1596,0,0],[1597,0,0],[1598,0,0],[1599,0,0],[1600,0,0],[1601,0,0],[1602,2,0],[1603,0,0],[1604,0,0]]"
141,1,"[[1570,0,0],[1571,0,0],[1572,0,-2],[1573,0,0],[1574,0,0],[1575,0,0],[1576,0,0],[1577,0,0],[1578,0,0],[1579,0,0],[1580,0,0],[1581,0,0],[1582,0,0],[1583,0,0],[1584,0,0],[1585,0,0],[1586,0,0],[1587,0,0],[1588,0,0],[1589,0,0]]"
142,0,"[[1645,0,-2],[1646,0,-1],[1647,0,-2],[1648,0,-3],[1649,0,-1]]"
143,2,"[[1630,0,0],[1631,0,0],[1632,0,0],[1633,0,0],[1634,0,0],[1635,0,0],[1636,0,0],[1637,0,0],[1638,7,1],[1639,0,0],[1640,0,0],[1641,0,0],[1642,0,0],[1643,0,0],[1644,-1,0]]"
144,1,"[[1610,1,0],[1611,-2,1],[1612,0,0],[1613,0,0],[1614,0,0],[1615,0,0],[1616,0,0],[1617,0,0],[1618,0,0],[1619,0,0],[1620,0,0],[1621,0,0],[1622,0,0],[1623,0,0],[1624,0,0],[1625,0,0],[1626,0,0],[1627,0,0],[1628,0,0],[1629,0,0]]"
145,0,"[[1685,-1,-3],[1686,0,-3],[1687,-1,-3],[1688,-1,-3],[1689,0,-3]]"
146,2,"[[1670,0,0],[1671,0,0],[1672,0,0],[1673,0,0],[1674,0,0],[1675,0,0],[1676,0,0],[1677,0,0],[1678,0,0],[1679,0,0],[1680,0,0],[1681,0,0],[1682,0,0],[1683,0,0],[1684,0,0]]"
147,1,"[[1650,0,0],[1651,0,0],[1652,0,0],[1653,0,0],[1654,0,0],[1655,0,0],[1656,0,0],[1657,0,0],[1658,0,0],[1659,0,0],[1660,0,0],[1661,0,0],[1662,0,0],[1663,0,0],[1664,0,0],[1665,0,0],[1666,0,0],[1667,0,0],[1668,0,0],[1669,0,0]]"
148,0,"[[1725,-2,-2],[1726,1,-5],[1727,1,-4],[1728,1,-5],[1729,1,-5]]"
149,2,"[[1710,0,0],[1711,0,0],[1712,-2,0],[1713,0,0],[1714,0,0],[1715,0,0],[1716,0,0],[1717,0,0],[1718,0,0],[1719,0,0],[1720,4,-2],[1721,1,0],[1722,0,-2],[1723,0,0],[1724,-1,0]]"
150,1,"[[1690,-5,-4],[1691,-1,-5],[1692,0,-6],[1693,-5,-6],[1694,-4,-4],[1695,-3,-6],[1696,-3,-5],[1697,-2,-5],[1698,-4,-11],[1699,-4,-8],[1700,-3,-5],[1701,-1,-6],[1702,0,-8],[1703,-2,-7],[1704,-2,-7],[1705,0,-8],[1706,-3,-7],[1707,-3,-7],[1708,2,-7],[1709,2,-6]]"
151,0,"[[1765,0,-2],[1766,1,-2],[1767,1,-3],[1768,0,-4],[1769,2,-3]]"
152,2,"[[1750,0,0],[1751,0,0],[1752,0,0],[1753,-1,0],[1754,-1,0],[1755,0,0],[1756,0,0],[1757,0,0],[1758,0,0],[1759,0,0],[1760,0,0],[1761,0,0],[1762,0,0],[1763,0,0],[1764,0,0]]"
153,1,"[[1730,0,1],[1731,0,0],[1732,0,0],[1733,0,0],[1734,0,0],[1735,0,0],[1736,0,0],[1737,0,0],[1738,0,0],[1739,0,0],[1740,0,0],[1741,0,0],[1742,0,-1],[1743,0,0],[1744,0,0],[1745,0,0],[1746,0,0],[1747,0,0],[1748,1,0],[1749,0,0]]"
154,0,"[[1805,-1,-1],[1806,-1,-1],[1807,-1,-1],[1808,-1,-1],[1809,-1,-1]]"
155,2,"[[1790,0,0],[1791,0,0],[1792,0,0],[1793,0,0],[1794,0,0],[1795,0,0],[1796,0,0],[1797,0,0],[1798,0,0],[1799,0,0],[1800,4,0],[1801,0,0],[1802,0,0],[1803,1,0],[1804,0,0]]"
156,1,"[[1770,0,0],[1771,-1,0],[1772,0,-1],[1773,0,-1],[1774,-1,0],[1775,-2,-1],[1776,-3,-1],[1777,0,0],[1778,-3,0],[1779,-2,0],[1780,-2,-1],[1781,-1,0],[1782,0,0],[1783,0,0],[1784,-1,0],[1785,0,-1],[1786,-1,-1],[1787,-2,0],[1788,0,-1],[1789,0,-1]]"
157,0,"[[1830,-1,0],[1831,-1,0],[1832,-1,0],[1833,-1,0],[1834,-1,-1]]"
158,2,"[[1630,0,0],[1631,0,0],[1632,0,0],[1633,0,0],[1634,0,0],[1635,0,0],[1636,0,0],[1637,0,0],[1638,5,1],[1639,0,0],[1640,0,0],[1641,0,0],[1642,-1,0],[1643,0,0],[1644,0,0]]"
159,1,"[[1810,0,1],[1811,-1,1],[1812,-1,0],[1813,0,0],[1814,0,0],[1815,0,0],[1816,0,0],[1817,1,0],[1818,-1,0],[1819,-1,1],[1820,0,0],[1821,0,0],[1822,-1,0],[1823,-1,0],[1824,0,0],[1825,0,0],[1826,-1,0],[1827,-1,0],[1828,0,0],[1829,0,0]]"
160,0,"[[1855,-3,-5],[1856,-1,-3],[1857,-2,-4],[1858,0,-3],[1859,-1,-6]]"
161,2,"[[1550,0,0],[1551,0,0],[1552,0,0],[1553,0,0],[1554,4,0],[1555,0,1],[1556,0,0],[1557,0,0],[1558,-1,0],[1559,0,0],[1560,4,0],[1561,0,0],[1562,0,-3],[1563,3,3],[1564,-2,0]]"
162,1,"[[1835,-4,-4],[1836,0,-3],[1837,-2,-3],[1838,0,-2],[1839,-1,-2],[1840,-1,-2],[1841,-7,-3],[1842,-5,-4],[1843,-3,-3],[1844,-4,-4],[1845,-5,-2],[1846,1,-1],[1847,-1,-1],[1848,0,-4],[1849,4,-2],[1850,2,-1],[1851,-1,-1],[1852,0,-1],[1853,3,-4],[1854,-1,-4]]"
163,3,"[[1861,-9,11],[1862,24,17],[1862,19,23],[1863,-11,15],[1863,-11,15],[1867,33,7],[1864,9,3],[1864,9,-3],[1864,9,-3],[1862,24,12],[1865,-40,3],[79,-1,-5],[1862,19,36],[1866,11,7],[1867,13,10],[1865,-44,-11],[1861,0,7],[1861,0,5],[79,32,17],[79,26,24],[79,-2,-12],[79,6,-9],[79,-7,-8],[79,-7,-12]]"
164,0,"[[1906,-3,-6],[1907,-2,-6],[1908,-2,-6],[1909,-4,-8],[1910,-2,-6]]"
165,1,"[[1871,-2,-5],[1872,-3,-2],[1873,-2,-3],[1874,-3,-3],[1875,-2,-5],[1876,-2,-5],[1877,-3,-3],[1878,-1,-3],[1879,-4,-3],[1880,-5,-2],[1881,-5,-3],[1882,-1,-4],[1883,1,-5],[1884,3,-4],[1885,-1,-3],[1886,-1,-3],[1887,-1,-3],[1888,-1,-4],[1889,-1,-3],[1890,-1,-3]]"
166,2,"[[1891,0,-1],[1892,0,-1],[1893,0,-1],[1894,0,0],[1895,0,-1],[1896,0,-1],[1897,0,-1],[1898,0,-1],[1899,0,-1],[1900,2,-1],[1901,5,0],[1902,3,0],[1903,3,0],[1904,3,0],[1905,3,-1]]"
167,3,"[[1912,-18,-16],[1919,23,-14],[1914,-28,-4],[1915,-7,-24],[1915,-7,-24],[1917,23,6],[1913,-18,-15],[1913,-18,-21],[1913,-18,-21],[1919,25,-22],[1918,-48,-1],[1918,-51,-17],[1911,19,32],[1919,7,-24],[1919,12,-13],[1918,-49,-18],[1912,-17,-19],[1912,-16,-17],[1919,32,-10],[1919,25,-5],[1914,-25,-10],[1913,-18,-22],[1912,-6,-27],[1912,-11,-24]]"
168,0,"[[1955,0,-1],[1956,1,-1],[1957,0,-1],[1958,0,-1],[1959,0,0]]"
169,1,"[[1920,0,0],[1921,-1,1],[1922,0,-1],[1923,0,0],[1924,0,0],[1925,0,0],[1926,0,0],[1927,1,2],[1928,-1,0],[1929,-1,0],[1930,-1,0],[1931,0,0],[1932,1,0],[1933,1,0],[1934,0,0],[1935,0,0],[1936,0,0],[1937,0,1],[1938,0,1],[1939,0,1]]"
170,2,"[[1940,1,-1],[1941,0,0],[1942,0,0],[1943,0,0],[1944,0,0],[1945,0,0],[1946,0,0],[1947,1,0],[1948,1,0],[1949,2,0],[1950,3,0],[1951,0,0],[1952,0,1],[1953,0,0],[1954,0,0]]"
171,3,"[[1960,5,17],[1961,-5,8],[1961,-4,7],[1962,17,-5],[1962,17,-5],[1963,-6,18],[1964,3,-10],[1964,4,-17],[1964,4,-17],[1961,1,-4],[1961,-9,-7],[1968,-6,-5],[1965,10,-1],[1966,3,9],[1967,-3,17],[1968,-4,-2],[1961,6,5],[1961,6,4],[79,-1,3],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
172,0,"[[2004,-1,-3],[2005,-1,-4],[2006,-1,-4],[2007,-1,-5],[2008,0,-3]]"
173,1,"[[1969,-1,-4],[1970,-2,-3],[1971,0,-3],[1972,-1,-2],[1973,-2,-2],[1974,0,-5],[1975,-1,-5],[1976,0,-4],[1977,-2,-4],[1978,-2,-4],[1979,0,-5],[1980,0,-3],[1981,1,-4],[1982,-1,-3],[1983,1,-4],[1984,-1,-3],[1985,-3,-5],[1986,-2,-5],[1987,-1,-4],[1988,-3,-4]]"
174,2,"[[1989,-1,-2],[1990,0,-1],[1991,0,0],[1992,-1,-1],[1993,0,-1],[1994,0,-2],[1995,0,-2],[1996,1,-2],[1997,0,-2],[1998,0,-2],[1999,2,0],[2000,0,-2],[2001,0,-1],[2002,1,-2],[2003,0,-2]]"
175,3,"[[2009,5,0],[2010,0,2],[2010,-3,2],[2010,-1,-1],[2010,-1,-1],[2010,0,2],[2011,-2,-19],[2011,-2,-25],[2011,-2,-25],[2010,2,-8],[79,-19,-9],[79,-8,-17],[2012,10,0],[2013,6,-5],[2014,8,17],[79,0,0],[2015,5,0],[2015,3,-1],[2015,13,5],[2015,7,9],[2015,14,3],[2015,9,8],[2015,14,-5],[2015,10,-1]]"
176,3,"[[2016,-1,23],[2017,25,19],[79,0,14],[2018,-2,1],[2018,-2,1],[2019,24,16],[2020,7,10],[2020,7,4],[2020,7,4],[79,27,10],[79,1,-4],[79,0,0],[2017,20,37],[2022,9,5],[2023,11,10],[79,0,0],[2018,1,4],[2018,-1,4],[79,0,0],[79,0,0],[2018,5,5],[2023,9,6],[79,0,0],[79,0,0]]"
177,3,"[[2024,3,4],[2025,21,0],[2026,16,4],[2026,19,0],[2026,20,0],[2025,20,0],[2031,25,4],[2025,28,0],[2025,28,0],[2050,2,7],[79,0,0],[79,0,0],[2027,2,3],[2028,-3,10],[2029,3,11],[79,0,0],[2030,6,6],[2030,5,5],[2031,3,-1],[2032,-1,3],[2031,3,-1],[2032,0,3],[2033,5,-1],[2034,2,-1]]"
178,3,"[[2035,-3,20],[2036,23,17],[2041,-4,16],[2037,-2,0],[2037,-1,-1],[2036,32,17],[2038,3,12],[2038,3,6],[2038,3,6],[79,24,9],[79,0,0],[79,0,0],[2036,18,35],[2039,4,-3],[2040,12,18],[79,6,-1],[2038,-3,5],[2038,-1,7],[79,0,0],[79,0,0],[2041,-1,13],[2038,1,5],[79,0,0],[79,0,0]]"
179,3,"[[2042,-13,11],[2043,26,17],[2042,-12,9],[2051,0,3],[2051,0,4],[2044,20,13],[2045,0,3],[2045,-1,-2],[2045,-2,-2],[2042,-7,-2],[79,0,0],[79,0,0],[2043,21,36],[2046,1,7],[2047,13,10],[79,0,0],[2045,-3,-5],[2045,-5,-2],[79,0,0],[79,0,0],[2048,10,-6],[2049,8,-5],[79,0,0],[79,0,0]]"
180,3,"[[2052,-4,21],[2053,11,2],[2054,-2,5],[2052,15,18],[2052,14,19],[2053,9,0],[2055,3,7],[2055,4,1],[2055,3,1],[2054,3,-6],[79,0,0],[79,7,-9],[2056,22,4],[2057,17,11],[2053,16,14],[79,0,0],[2054,6,3],[2054,6,2],[79,0,0],[79,0,0],[2058,6,0],[2059,9,2],[79,0,0],[79,0,0]]"
181,3,"[[2060,-7,22],[2061,11,0],[2062,-6,3],[2060,10,19],[2060,11,18],[2061,9,-2],[2063,3,3],[2063,3,-3],[2063,3,-3],[2062,-1,-8],[79,0,0],[79,0,0],[2064,22,3],[2065,16,12],[2061,17,11],[79,0,0],[2062,1,0],[2062,1,-1],[79,5,-6],[79,0,0],[2063,3,-4],[2066,8,-4],[79,0,0],[79,0,0]]"
182,3,"[[2067,1,0],[2068,21,-2],[2068,17,-2],[2069,20,-1],[2069,20,-1],[2069,18,2],[2070,27,0],[2070,27,-6],[2070,27,-6],[2071,-1,5],[79,0,0],[79,0,0],[2072,0,2],[2073,2,2],[2074,5,9],[79,0,0],[2075,1,1],[2075,1,1],[2077,5,0],[2076,0,0],[2077,5,0],[2076,0,0],[2078,3,0],[2079,2,0]]"
183,3,"[[2081,11,16],[2080,14,21],[2080,9,22],[2080,10,21],[2080,10,19],[2080,13,22],[2080,18,27],[2080,18,22],[2080,16,21],[2490,24,13],[79,9,6],[79,-6,-3],[2082,20,4],[2083,9,0],[2084,13,0],[79,-10,-4],[2080,6,18],[2080,7,17],[79,20,20],[79,12,25],[79,23,22],[79,15,28],[79,21,10],[79,16,19]]"
184,3,"[[2085,3,21],[2086,0,8],[2086,0,10],[2087,1,1],[2087,1,1],[2088,-2,1],[2089,-2,7],[2089,-1,2],[2089,-1,2],[2086,5,0],[2090,0,0],[79,0,0],[2091,19,-1],[2092,6,-2],[2093,12,16],[79,0,0],[2094,1,10],[2094,1,10],[2094,-3,10],[2095,-1,3],[2096,-2,3],[2097,1,4],[2098,-2,2],[2099,-2,0]]"
185,5,"[[2100,1,-1],[2101,1,-1]]"
186,4,"[[2102,0,0],[2103,0,0]]"
187,1,"[[2104,0,0],[2105,0,0],[2106,0,0],[2107,0,0],[2108,0,0],[2109,0,0],[2110,0,0],[2111,0,0],[2112,0,0],[2113,0,0],[2114,0,0],[2115,0,0],[2116,0,0],[2117,0,0],[2118,0,0],[2119,0,0],[2120,0,0],[2121,0,0],[2122,0,0],[2123,0,0]]"
188,2,"[[2124,0,0],[2125,0,0],[2126,0,0],[2127,0,0],[2128,0,0],[2129,0,0],[2130,0,0],[2131,0,0],[2132,0,0],[2133,0,0],[2134,0,0],[2135,0,0],[2136,0,0],[2137,0,0],[2138,0,0]]"
189,5,"[[2139,2,-1],[2140,1,-1]]"
190,4,"[[2141,3,5],[2142,3,4]]"
191,1,"[[2143,0,0],[2144,0,0],[2145,0,0],[2146,0,0],[2147,0,0],[2148,0,0],[2149,0,0],[2150,0,0],[2151,0,0],[2152,0,0],[2153,0,0],[2154,0,0],[2155,0,0],[2156,0,0],[2157,0,0],[2158,0,0],[2159,0,0],[2160,0,0],[2161,0,0],[2162,0,0]]"
192,2,"[[2163,0,0],[2164,0,0],[2165,0,0],[2166,0,0],[2167,0,0],[2168,0,0],[2169,0,0],[2170,0,0],[2171,0,0],[2172,0,0],[2173,0,0],[2174,0,0],[2175,0,1],[2176,0,0],[2177,0,0]]"
193,5,"[[2178,2,-1],[2179,1,-1]]"
194,4,"[[2180,2,-3],[2181,0,-3]]"
195,1,"[[2182,0,0],[2183,0,0],[2184,0,0],[2185,0,0],[2186,0,0],[2187,0,0],[2188,0,0],[2189,0,0],[2190,0,0],[2191,0,0],[2192,0,0],[2193,0,0],[2194,0,0],[2195,0,0],[2196,0,0],[2197,0,0],[2198,0,0],[2199,0,0],[2200,0,0],[2201,0,0]]"
196,2,"[[2202,1,0],[2203,0,0],[2204,0,0],[2205,0,0],[2206,0,0],[2207,0,0],[2208,0,0],[2209,0,0],[2210,0,0],[2211,0,0],[2212,0,0],[2213,0,0],[2214,0,1],[2215,0,0],[2216,0,0]]"
197,5,"[[2217,1,0],[2218,1,0]]"
198,4,"[[2219,3,0],[2220,3,-2]]"
199,1,"[[2221,0,0],[2222,0,0],[2223,0,0],[2224,0,0],[2225,0,0],[2226,0,0],[2227,0,0],[2228,0,0],[2229,0,0],[2230,0,0],[2231,0,0],[2232,0,0],[2233,0,0],[2234,0,0],[2235,0,0],[2236,0,0],[2237,0,0],[2238,0,0],[2239,0,0],[2240,0,0]]"
200,2,"[[2241,0,0],[2242,0,0],[2243,0,0],[2244,0,0],[2245,0,0],[2246,0,0],[2247,0,0],[2248,0,0],[2249,0,0],[2250,0,0],[2251,0,0],[2252,0,0],[2253,0,0],[2254,0,0],[2255,0,0]]"
201,5,"[[2256,3,2],[2257,3,2]]"
202,4,"[[2258,3,0],[2259,3,0]]"
203,1,"[[2260,0,0],[2261,0,0],[2262,0,0],[2263,0,0],[2264,0,0],[2265,0,0],[2266,0,0],[2267,0,0],[2268,0,0],[2269,0,0],[2270,0,0],[2271,0,0],[2272,0,0],[2273,0,0],[2274,0,0],[2275,0,0],[2276,0,0],[2277,0,0],[2278,0,0],[2279,0,0]]"
204,2,"[[2280,0,0],[2281,0,0],[2282,0,0],[2283,0,0],[2284,0,0],[2285,0,0],[2286,0,0],[2287,0,0],[2288,0,0],[2289,0,0],[2290,0,0],[2291,0,0],[2292,0,0],[2293,0,0],[2294,0,0]]"
205,5,"[[2295,0,-3],[2296,0,-3]]"
206,4,"[[2297,1,-1],[2298,1,-1]]"
207,1,"[[2299,0,0],[2300,0,0],[2301,0,0],[2302,0,0],[2303,0,0],[2304,0,0],[2305,0,0],[2306,0,0],[2307,0,0],[2308,0,0],[2309,0,0],[2310,0,0],[2311,0,0],[2312,0,0],[2313,0,0],[2314,0,0],[2315,0,0],[2316,0,0],[2317,0,0],[2318,0,0]]"
208,2,"[[2319,0,0],[2320,0,0],[2321,0,0],[2322,0,0],[2323,0,0],[2324,0,0],[2325,0,0],[2326,0,0],[2327,0,0],[2328,0,0],[2329,0,0],[2330,0,0],[2331,0,0],[2332,0,0],[2333,0,0]]"
209,5,"[[2334,1,-2],[2335,1,-2]]"
210,4,"[[2336,4,3],[2337,3,3]]"
211,1,"[[2338,0,0],[2339,0,0],[2340,0,0],[2341,0,0],[2342,0,0],[2343,0,0],[2344,0,0],[2345,0,0],[2346,0,0],[2347,0,0],[2348,0,0],[2349,0,0],[2350,0,0],[2351,0,0],[2352,0,0],[2353,0,0],[2354,0,0],[2355,0,0],[2356,0,0],[2357,0,0]]"
212,2,"[[2358,0,0],[2359,0,0],[2360,0,0],[2361,0,0],[2362,0,0],[2363,0,0],[2364,0,0],[2365,0,0],[2366,1,0],[2367,0,0],[2368,0,0],[2369,0,0],[2370,0,0],[2371,0,0],[2372,0,0]]"
213,5,"[[2373,-1,-1],[2374,0,-3]]"
214,4,"[[2375,4,9],[2376,3,8]]"
215,1,"[[2377,0,0],[2378,0,0],[2379,0,0],[2380,0,0],[2381,0,0],[2382,0,0],[2383,0,0],[2384,0,0],[2385,0,0],[2386,0,0],[2387,0,0],[2388,0,0],[2389,0,0],[2390,0,0],[2391,0,0],[2392,0,0],[2393,0,0],[2394,0,0],[2395,0,0],[2396,0,0]]"
216,2,"[[2397,0,0],[2398,0,0],[2399,0,0],[2400,0,0],[2401,0,0],[2402,0,0],[2403,0,0],[2404,0,0],[2405,0,0],[2406,0,0],[2407,0,0],[2408,0,0],[2409,0,1],[2410,0,0],[2411,0,0]]"
217,5,"[[2412,1,0],[2413,2,0]]"
218,4,"[[2414,3,0],[2415,4,-1]]"
219,1,"[[2416,0,0],[2417,0,0],[2418,0,0],[2419,0,0],[2420,0,0],[2421,0,0],[2422,0,0],[2423,0,0],[2424,0,0],[2425,0,0],[2426,0,0],[2427,0,0],[2428,0,0],[2429,0,0],[2430,0,0],[2431,0,0],[2432,0,0],[2433,0,0],[2434,0,0],[2435,0,0]]"
220,2,"[[2436,0,0],[2437,0,0],[2438,0,0],[2439,0,0],[2440,0,0],[2441,0,0],[2442,0,0],[2443,0,0],[2444,0,0],[2445,0,0],[2446,0,0],[2447,0,0],[2448,0,1],[2449,0,0],[2450,0,0]]"
221,5,"[[2451,1,-1],[2452,0,-1]]"
222,4,"[[2453,5,9],[2454,3,7]]"
223,1,"[[2455,0,0],[2456,0,0],[2457,0,0],[2458,0,0],[2459,0,0],[2460,0,0],[2461,0,0],[2462,0,0],[2463,0,0],[2464,0,0],[2465,0,0],[2466,0,0],[2467,0,0],[2468,0,0],[2469,0,0],[2470,0,0],[2471,0,0],[2472,0,0],[2473,0,0],[2474,0,0]]"
224,2,"[[2475,1,0],[2476,0,0],[2477,0,0],[2478,0,0],[2479,0,0],[2480,0,0],[2481,0,0],[2482,1,0],[2483,1,0],[2484,2,0],[2485,1,-1],[2486,0,0],[2487,0,1],[2488,0,0],[2489,-1,0]]"
225,3,"[[2492,11,16],[2491,15,21],[2491,10,22],[2491,11,22],[2491,11,21],[2491,13,23],[2491,18,28],[2491,18,23],[2491,17,23],[2496,26,12],[79,0,0],[79,0,0],[2493,21,4],[2494,10,1],[2495,13,0],[79,0,0],[2491,7,19],[2491,7,19],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
226,3,"[[2497,-6,12],[2498,26,15],[2498,21,20],[2499,-13,14],[2499,-13,15],[2503,34,8],[2500,5,8],[2500,4,2],[2500,5,3],[2498,25,9],[2501,-29,4],[79,0,0],[2498,20,8],[2502,11,5],[2503,12,12],[2501,-35,-13],[2497,-5,4],[2497,-7,5],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
227,3,"[[2505,0,0],[2506,20,0],[2506,16,0],[2507,20,0],[2507,20,0],[2506,19,0],[2508,26,0],[2506,27,0],[2506,27,0],[2509,0,5],[79,0,0],[79,0,0],[2510,0,3],[2511,0,2],[2512,5,9],[79,0,0],[2513,0,0],[2513,0,0],[2515,5,0],[2514,0,0],[2515,5,0],[2514,0,0],[2516,3,0],[2517,3,0]]"
228,3,"[[2518,3,21],[2519,0,8],[2519,0,10],[2520,0,1],[2520,0,0],[2521,-2,2],[2522,-1,8],[2522,-1,2],[2522,-1,2],[2519,5,-1],[2523,0,0],[79,0,0],[2524,17,-2],[2525,8,-1],[2526,13,17],[79,0,0],[2527,3,10],[2527,3,9],[2527,-3,9],[2528,-1,3],[2529,-2,3],[2530,2,3],[2531,-2,1],[2532,-3,0]]"
229,4,"[[2533,3,0],[2534,3,0]]"
230,1,"[[2535,0,0],[2536,0,0],[2537,0,0],[2538,0,0],[2539,0,0],[2540,0,0],[2541,0,0],[2542,0,0],[2543,0,0],[2544,0,0],[2545,0,0],[2546,0,0],[2547,0,0],[2548,0,0],[2549,0,0],[2550,0,0],[2551,0,0],[2552,0,0],[2553,0,0],[2554,0,0]]"
231,2,"[[2555,0,0],[2556,0,0],[2557,0,0],[2558,0,0],[2559,0,0],[2560,0,0],[2561,0,0],[2562,0,0],[2563,0,0],[2564,0,0],[2565,0,0],[2566,0,0],[2567,0,0],[2568,0,0],[2569,0,0]]"
232,4,"[[2570,3,0],[2571,3,0]]"
233,1,"[[2572,0,0],[2573,0,0],[2574,0,0],[2575,0,0],[2576,0,0],[2577,0,0],[2578,0,0],[2579,0,0],[2580,0,0],[2581,0,0],[2582,0,0],[2583,0,0],[2584,0,0],[2585,0,0],[2586,0,0],[2587,0,0],[2588,0,0],[2589,0,0],[2590,0,0],[2591,0,0]]"
234,2,"[[2592,0,0],[2593,0,0],[2594,0,0],[2595,0,0],[2596,0,0],[2597,0,0],[2598,0,0],[2599,0,0],[2600,0,0],[2601,0,0],[2602,0,0],[2603,0,0],[2604,0,0],[2605,0,0],[2606,0,0]]"
235,4,"[[2607,1,-2],[2608,1,-2]]"
236,1,"[[2609,0,0],[2610,0,0],[2611,0,0],[2612,0,0],[2613,0,0],[2614,0,0],[2615,0,0],[2616,0,0],[2617,0,0],[2618,0,0],[2619,0,0],[2620,0,0],[2621,0,0],[2622,0,0],[2623,0,0],[2624,0,0],[2625,0,0],[2626,0,0],[2627,0,0],[2628,0,0]]"
237,2,"[[2629,0,0],[2630,0,0],[2631,0,0],[2632,0,0],[2633,0,0],[2634,0,0],[2635,0,0],[2636,0,0],[2637,0,0],[2638,0,0],[2639,0,0],[2640,0,0],[2641,0,1],[2642,0,0],[2643,0,0]]"
238,4,"[[2644,5,9],[2645,5,9]]"
239,1,"[[2646,0,0],[2647,0,0],[2648,0,0],[2649,0,0],[2650,0,0],[2651,0,0],[2652,0,0],[2653,0,0],[2654,-1,0],[2655,-1,0],[2656,0,0],[2657,0,0],[2658,0,0],[2659,0,0],[2660,0,0],[2661,0,0],[2662,0,0],[2663,0,0],[2664,0,0],[2665,0,0]]"
240,2,"[[2666,2,0],[2667,0,0],[2668,0,0],[2669,0,0],[2670,0,1],[2671,2,0],[2672,0,0],[2673,0,0],[2674,0,0],[2675,0,0],[2676,0,0],[2677,0,0],[2678,0,0],[2679,0,0],[2680,0,0]]"
241,4,"[[2681,1,-1],[2682,0,-1]]"
242,1,"[[2683,0,0],[2684,0,0],[2685,0,0],[2686,0,0],[2687,0,0],[2688,0,0],[2689,0,0],[2690,0,0],[2691,0,0],[2692,0,0],[2693,0,0],[2694,0,0],[2695,0,0],[2696,0,0],[2697,0,0],[2698,0,0],[2699,0,0],[2700,0,0],[2701,0,0],[2702,0,0]]"
