id,icon,name,info,mwear,op,price
115,111,Trang phục Raid Suit Sanji,"Thời trang Gia Đình Germa 66
+100% Máu cuối
+100% Né tránh
+100% Phản đòn
+100% Giảm phản đòn đối phương (ẩn)
Khi sử dụng với Tóc Sanji sẽ kích hoạt Giảm Phản đòn đối phương
 Hạn sử dụng vĩnh viễn","[-1,1020,-1,1021,-1,1022,-1,-1]","[[14,1000],[12,1000],[56,1000],[52,1000]]",-1
116,112,Trang phục Raid Suit Judge,"Thời trang Gia Đình Germa 66
+100% Máu cuối
+150% Né tránh
+150% Xuyên giáp
+100% Giảm STCM đối phương (ẩn)
Khi sử dụng với Tóc Judge sẽ kích hoạt Giảm Sát thương chí mạng đối phương
 Hạn sử dụng vĩnh viễn","[-1,-1,-1,1024,-1,1025,-1,-1]","[[13,1500],[12,1500],[56,1000],[69,1000]]",-1
117,113,Trang phục Raid Suit Reiju,"Thời trang Gia Đình Germa 66
+100% Máu cuối
+150% Chí mạng
+150% ST chí mạng
+100% Giảm chí mạng đối phương (ẩn)
Khi sử dụng với Tóc Reiju sẽ kích hoạt Giảm Chí mạng đối phương
 Hạn sử dụng vĩnh viễn","[-1,-1,-1,1027,-1,1028,-1,-1]","[[10,1500],[11,1500],[56,1000],[49,1000]]",-1
118,114,Trang phục Mihawk,"Thời trang Mihawk 
+120% Máu cuối
+110% Xuyên giáp
+120% Phản đòn
 Hạn sử dụng vĩnh viễn","[-1,1029,-1,1030,-1,1031,-1,-1]","[[14,1200],[13,1100],[56,1200]]",-1
119,115,Trang phục Mihawk Gold,"Thời trang Mihawk Gold
+120% Máu cuối
+110% Xuyên giáp
+120% Phản đòn
+50% Sát thương chuẩn
 Hạn sử dụng vĩnh viễn","[-1,1033,-1,1034,-1,1031,-1,-1]","[[14,1200],[13,1100],[56,1200],[57,500]]",-1
120,116,Dr. Strange Zoombie,"+120% Né tránh
+100% Miễn thương
+120% Máu cuối
+100% Giảm miễn thương đối phương
*8% xảy ra hiệu ứng zoombie hóa đối phương trong 5s
Tác dụng lên đối phương:
-Tăng 50% thời gian hồi chiêu
-Giảm 50% sát thương của đối phương
-Giảm 50% 1 số chỉ số
 Hạn sử dụng vĩnh viễn","[-1,-1,-1,1038,-1,1039,1037,1036]","[[12,1200],[53,1000],[56,1200],[63,1000]]",-1
121,117,Trong tài worldcup,"Trang phục Trong Tài Worldcup 2022
+100% Giảm hồi chiêu
+100% Máu cuối
+100% Miễn thương
Hồi phục 500 Hp trong mỗi 5s.
 Hạn sử dụng vĩnh viễn","[-1,-1,-1,1040,-1,1041,-1,-1]","[[25,1000],[53,1000],[56,1000],[19,500]]",-1
123,118,Thời trang UTA,"Trang phục UTA
+120% Chí mạng
+100% Giảm miễn thương
+100% né tránh
**5% gậy ra hiệu ứng Uta Uta No Mi trong 5s:
-Giảm 50% sức tấn công đối thủ.
-Tăng 50% sức tấn công bản thân.
 Hạn sử dụng vĩnh viễn","[1045,-2,-1,1043,-1,1044,1042,-2]","[[10,1200],[53,1000],[12,1000]]",-1
124,120,Thời trang Fan cứng,"Trang phục Bartolomeo Fan cứng
+70% Sát thương
+70% Máu
+70% Giảm hồi chiều
x20 kinh nghiệm bản thân
x20 kinh nghiệm kỹ năng chiêu thức
 Hạn sử dụng còn 7 ngày.
 => khi mặc lên chỉ số x10","[-1,-1,-1,1050,-1,1051,1049,-2]","[[25,7000],[17,7000],[1,7000],[67,100000],[68,100000]]",-1
125,119,Thời trang Nami Wano,"Trang phục Nami Wano
+120% Giảm né tránh
+120% Máu cuối
+120% Sát thương chí mạng
**Chỉ số đặc biệt
+5% Kháng hiệu ứng
 Hạn sử dụng vĩnh viễn","[-1,-2,-1,1047,-1,1048,1046,-2]","[[11,1200],[56,1200],[51,1200],[71,50]]",-1
127,122,Thời trang Doflamingo,"Thời trang Doflamingo
+100% Sát thương
+100% Máu
+100% Giảm hồi chiều
x20 kinh nghiệm bản thân
x20 kinh nghiệm kỹ năng chiêu thức
 Hạn sử dụng vĩnh viễn.
 => khi mặc lên chỉ số x10","[-1,-2,-1,529,-1,530,528,-2]","[[1,10000],[17,10000],[25,10000],[67,100000],[68,100000]]",-1
128,121,Thời trang Gol D.Roger ,"Thời trang Gol D.Roger
+16% Né tránh
+11% Miễn thương
+16% Máu Cuối
+11% Giảm miễn thương đối phương
**Chỉ số đặc biệt
+*5% Xảy ra bất tử trong 5s
 Hạn sử dụng vĩnh viễn.
=>khi mặc lên chỉ số trên x5","[-1,1054,-1,1053,-1,1052,1055,-2]","[[12,800],[53,550],[56,800],[63,550]]",10000
